Fold,Accuracy,Precision,Recall,F1_Score
1,0.8823529411764706,0.8611111111111108,0.9259259259259257,0.8804112554112553
2,0.8823529411764706,0.8518518518518516,0.9074074074074079,0.8659932659932661
3,0.7647058823529411,0.7666666666666664,0.7666666666666664,0.7626262626262629
4,0.8823529411764706,0.8888888888888892,0.8796296296296297,0.8661064425770308
5,0.8125,0.8222222222222224,0.8380952380952382,0.8111111111111113
